2017-11-24 15:08:57.991 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:57.995 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:57.999 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:58.003 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:58.006 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:58.010 WARN  NServiceBus.QueuePermissions Queue [private$\testqueue.Publisher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:08:58.011 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-24 15:08:58.013 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-24 15:08:58.015 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-24 15:08:58.030 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-11-24 15:08:58.053 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-11-24 15:09:51.534 INFO  DefaultFactory Logging to 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\App_Data\' with level Info
2017-11-24 15:09:51.691 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 12 December 2017

2017-11-24 15:09:51.763 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-11-24 15:09:51.778 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\ResearchNServiceBus\Research-NServiceBus-Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-11-24 15:09:51.794 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPANPC\Dell' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPANPC\Dell" /add
2017-11-24 15:09:51.847 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-24 15:09:51.850 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
